Season,HomeTeam,AwayTeam,1HHG,1HAG,1HR,2HHG,2HAG,2HR,FTHG,FTAG,FTR,1HSumGoals,2HSumGoals,FTSumGoals,1HScore,2HScore,FTScore,2.5,Winner,BothScored,2.5/Winner,2.5/BothScored,Winner/BothScored,Result,HalfTvsFullT,2.5/Winner/BothScored
2016-17,West Brom,Middlesbrough,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2016-17,Arsenal,Southampton,1,1,X,1,0,1,2,1,1,2,1,3,1:1,1:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1,+2.5/1/yes
2016-17,Bournemouth,West Brom,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2016-17,Burnley,Hull,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2016-17,Liverpool,Leicester,2,1,1,2,0,1,4,1,1,3,2,5,2:1,2:0,4:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:1,1/1,+2.5/1/yes
2016-17,Man United,Man City,1,2,2,0,0,X,1,2,2,3,0,3,1:2,0:0,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2016-17,Middlesbrough,Crystal Palace,1,1,X,0,1,2,1,2,2,2,1,3,1:1,0:1,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,X/2,+2.5/2/yes
2016-17,Stoke,Tottenham,0,1,2,0,3,2,0,4,2,1,3,4,0:1,0:3,0:4,2.5,2,no,+2.5/2,+2.5/no,2/no,4:0,2/2,+2.5/2/no
2016-17,West Ham,Watford,2,2,X,0,2,2,2,4,2,4,2,6,2:2,0:2,2:4,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,4:2,X/2,+2.5/2/yes
2016-17,Swansea,Chelsea,0,1,2,2,1,1,2,2,X,1,3,4,0:1,2:1,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,2/X,+2.5/X/yes
2016-17,Sunderland,Everton,0,0,X,0,3,2,0,3,2,0,3,3,0:0,0:3,0:3,2.5,2,no,+2.5/2,+2.5/no,2/no,3:0,X/2,+2.5/2/no
2016-17,Chelsea,Liverpool,0,2,2,1,0,1,1,2,2,2,1,3,0:2,1:0,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2016-17,Everton,Middlesbrough,3,1,1,0,0,X,3,1,1,4,0,4,3:1,0:0,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,1/1,+2.5/1/yes
2016-17,Hull,Arsenal,0,1,2,1,3,2,1,4,2,1,4,5,0:1,1:3,1:4,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,4:1,2/2,+2.5/2/yes
2016-17,Leicester,Burnley,1,0,1,2,0,1,3,0,1,1,2,3,1:0,2:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,1/1,+2.5/1/no
2016-17,Man City,Bournemouth,2,0,1,2,0,1,4,0,1,2,2,4,2:0,2:0,4:0,2.5,1,no,+2.5/1,+2.5/no,1/no,4:0,1/1,+2.5/1/no
2016-17,West Brom,West Ham,3,0,1,1,2,2,4,2,1,3,3,6,3:0,1:2,4:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:2,1/1,+2.5/1/yes
2016-17,Crystal Palace,Stoke,2,0,1,2,1,1,4,1,1,2,3,5,2:0,2:1,4:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:1,1/1,+2.5/1/yes
2016-17,Southampton,Swansea,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2016-17,Tottenham,Sunderland,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2016-17,Watford,Man United,1,0,1,2,1,1,3,1,1,1,3,4,1:0,2:1,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,1/1,+2.5/1/yes
2016-17,Arsenal,Chelsea,3,0,1,0,0,X,3,0,1,3,0,3,3:0,0:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,1/1,+2.5/1/no
2016-17,Bournemouth,Everton,1,0,1,0,0,X,1,0,1,1,0,1,1:0,0:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,1/1,-2.5/1/no
2016-17,Liverpool,Hull,3,0,1,2,1,1,5,1,1,3,3,6,3:0,2:1,5:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,5:1,1/1,+2.5/1/yes
2016-17,Man United,Leicester,4,0,1,0,1,2,4,1,1,4,1,5,4:0,0:1,4:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:1,1/1,+2.5/1/yes
2016-17,Middlesbrough,Tottenham,0,2,2,1,0,1,1,2,2,2,1,3,0:2,1:0,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2016-17,Stoke,West Brom,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2016-17,Sunderland,Crystal Palace,1,0,1,1,3,2,2,3,2,1,4,5,1:0,1:3,2:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:2,1/2,+2.5/2/yes
2016-17,Swansea,Man City,1,1,X,0,2,2,1,3,2,2,2,4,1:1,0:2,1:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:1,X/2,+2.5/2/yes
2016-17,West Ham,Southampton,0,1,2,0,2,2,0,3,2,1,2,3,0:1,0:2,0:3,2.5,2,no,+2.5/2,+2.5/no,2/no,3:0,2/2,+2.5/2/no
2016-17,Burnley,Watford,1,0,1,1,0,1,2,0,1,1,1,2,1:0,1:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2016-17,Everton,Crystal Palace,1,0,1,0,1,2,1,1,X,1,1,2,1:0,0:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,1/X,-2.5/X/yes
2016-17,Hull,Chelsea,0,0,X,0,2,2,0,2,2,0,2,2,0:0,0:2,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,X/2,-2.5/2/no
