Season,HomeTeam,AwayTeam,1HHG,1HAG,1HR,2HHG,2HAG,2HR,FTHG,FTAG,FTR,1HSumGoals,2HSumGoals,FTSumGoals,1HScore,2HScore,FTScore,2.5,Winner,BothScored,2.5/Winner,2.5/BothScored,Winner/BothScored,Result,HalfTvsFullT,2.5/Winner/BothScored
2008-09,Arsenal,West Brom,1,0,1,0,0,X,1,0,1,1,0,1,1:0,0:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,1/1,-2.5/1/no
2008-09,Bolton,Stoke,3,0,1,0,1,2,3,1,1,3,1,4,3:0,0:1,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,1/1,+2.5/1/yes
2008-09,Everton,Blackburn,1,1,X,1,2,2,2,3,2,2,3,5,1:1,1:2,2:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:2,X/2,+2.5/2/yes
2008-09,Hull,Fulham,1,1,X,1,0,1,2,1,1,2,1,3,1:1,1:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1,+2.5/1/yes
2008-09,Middlesbrough,Tottenham,0,0,X,2,1,1,2,1,1,0,3,3,0:0,2:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1,+2.5/1/yes
2008-09,Sunderland,Liverpool,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2,-2.5/2/no
2008-09,West Ham,Wigan,2,0,1,0,1,2,2,1,1,2,1,3,2:0,0:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Aston Villa,Man City,0,0,X,4,2,1,4,2,1,0,6,6,0:0,4:2,4:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:2,X/1,+2.5/1/yes
2008-09,Chelsea,Portsmouth,3,0,1,1,0,1,4,0,1,3,1,4,3:0,1:0,4:0,2.5,1,no,+2.5/1,+2.5/no,1/no,4:0,1/1,+2.5/1/no
2008-09,Man United,Newcastle,1,1,X,0,0,X,1,1,X,2,0,2,1:1,0:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2008-09,Blackburn,Hull,1,1,X,0,0,X,1,1,X,2,0,2,1:1,0:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2008-09,Fulham,Arsenal,1,0,1,0,0,X,1,0,1,1,0,1,1:0,0:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,1/1,-2.5/1/no
2008-09,Liverpool,Middlesbrough,0,0,X,2,1,1,2,1,1,0,3,3,0:0,2:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1,+2.5/1/yes
2008-09,Newcastle,Bolton,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Stoke,Aston Villa,1,0,1,2,2,X,3,2,1,1,4,5,1:0,2:2,3:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:2,1/1,+2.5/1/yes
2008-09,Tottenham,Sunderland,0,0,X,1,2,2,1,2,2,0,3,3,0:0,1:2,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,X/2,+2.5/2/yes
2008-09,West Brom,Everton,0,0,X,1,2,2,1,2,2,0,3,3,0:0,1:2,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,X/2,+2.5/2/yes
2008-09,Man City,West Ham,0,0,X,3,0,1,3,0,1,0,3,3,0:0,3:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,X/1,+2.5/1/no
2008-09,Wigan,Chelsea,0,1,2,0,0,X,0,1,2,1,0,1,0:1,0:0,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,2/2,-2.5/2/no
2008-09,Portsmouth,Man United,0,1,2,0,0,X,0,1,2,1,0,1,0:1,0:0,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,2/2,-2.5/2/no
2008-09,Arsenal,Newcastle,2,0,1,1,0,1,3,0,1,2,1,3,2:0,1:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,1/1,+2.5/1/no
2008-09,Bolton,West Brom,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Everton,Portsmouth,0,2,2,0,1,2,0,3,2,2,1,3,0:2,0:1,0:3,2.5,2,no,+2.5/2,+2.5/no,2/no,3:0,2/2,+2.5/2/no
2008-09,Hull,Wigan,0,2,2,0,3,2,0,5,2,2,3,5,0:2,0:3,0:5,2.5,2,no,+2.5/2,+2.5/no,2/no,5:0,2/2,+2.5/2/no
2008-09,Middlesbrough,Stoke,1,0,1,1,1,X,2,1,1,1,2,3,1:0,1:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,West Ham,Blackburn,2,1,1,2,0,1,4,1,1,3,2,5,2:1,2:0,4:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:1,1/1,+2.5/1/yes
2008-09,Aston Villa,Liverpool,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Chelsea,Tottenham,1,1,X,0,0,X,1,1,X,2,0,2,1:1,0:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2008-09,Sunderland,Man City,0,1,2,0,2,2,0,3,2,1,2,3,0:1,0:2,0:3,2.5,2,no,+2.5/2,+2.5/no,2/no,3:0,2/2,+2.5/2/no
2008-09,Blackburn,Arsenal,0,2,2,0,2,2,0,4,2,2,2,4,0:2,0:2,0:4,2.5,2,no,+2.5/2,+2.5/no,2/no,4:0,2/2,+2.5/2/no
2008-09,Fulham,Bolton,2,0,1,0,1,2,2,1,1,2,1,3,2:0,0:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Liverpool,Man United,1,1,X,1,0,1,2,1,1,2,1,3,1:1,1:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1,+2.5/1/yes
2008-09,Man City,Chelsea,1,1,X,0,2,2,1,3,2,2,2,4,1:1,0:2,1:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:1,X/2,+2.5/2/yes
2008-09,Newcastle,Hull,0,1,2,1,1,X,1,2,2,1,2,3,0:1,1:1,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2008-09,Portsmouth,Middlesbrough,0,1,2,2,0,1,2,1,1,1,2,3,0:1,2:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,2/1,+2.5/1/yes
2008-09,West Brom,West Ham,2,2,X,1,0,1,3,2,1,4,1,5,2:2,1:0,3:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:2,X/1,+2.5/1/yes
2008-09,Wigan,Sunderland,0,1,2,1,0,1,1,1,X,1,1,2,0:1,1:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,2/X,-2.5/X/yes
2008-09,Stoke,Everton,0,1,2,2,2,X,2,3,2,1,4,5,0:1,2:2,2:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:2,2/2,+2.5/2/yes
2008-09,Tottenham,Aston Villa,0,1,2,1,1,X,1,2,2,1,2,3,0:1,1:1,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2008-09,Blackburn,Fulham,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Bolton,Arsenal,1,2,2,0,1,2,1,3,2,3,1,4,1:2,0:1,1:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:1,2/2,+2.5/2/yes
2008-09,Liverpool,Stoke,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Sunderland,Middlesbrough,0,0,X,2,0,1,2,0,1,0,2,2,0:0,2:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,X/1,-2.5/1/no
2008-09,West Ham,Newcastle,2,0,1,1,1,X,3,1,1,2,2,4,2:0,1:1,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,1/1,+2.5/1/yes
2008-09,Chelsea,Man United,0,1,2,1,0,1,1,1,X,1,1,2,0:1,1:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,2/X,-2.5/X/yes
2008-09,Hull,Everton,1,0,1,1,2,2,2,2,X,1,3,4,1:0,1:2,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,1/X,+2.5/X/yes
2008-09,Man City,Portsmouth,2,0,1,4,0,1,6,0,1,2,4,6,2:0,4:0,6:0,2.5,1,no,+2.5/1,+2.5/no,1/no,6:0,1/1,+2.5/1/no
2008-09,Tottenham,Wigan,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,West Brom,Aston Villa,1,2,2,0,0,X,1,2,2,3,0,3,1:2,0:0,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2008-09,Arsenal,Hull,0,0,X,1,2,2,1,2,2,0,3,3,0:0,1:2,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,X/2,+2.5/2/yes
2008-09,Aston Villa,Sunderland,2,1,1,0,0,X,2,1,1,3,0,3,2:1,0:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Everton,Liverpool,0,0,X,0,2,2,0,2,2,0,2,2,0:0,0:2,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,X/2,-2.5/2/no
2008-09,Fulham,West Ham,0,2,2,1,0,1,1,2,2,2,1,3,0:2,1:0,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2008-09,Man United,Bolton,0,0,X,2,0,1,2,0,1,0,2,2,0:0,2:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,X/1,-2.5/1/no
2008-09,Middlesbrough,West Brom,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2,-2.5/2/no
2008-09,Newcastle,Blackburn,0,2,2,1,0,1,1,2,2,2,1,3,0:2,1:0,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2008-09,Stoke,Chelsea,0,1,2,0,1,2,0,2,2,1,1,2,0:1,0:1,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,2/2,-2.5/2/no
2008-09,Portsmouth,Tottenham,1,0,1,1,0,1,2,0,1,1,1,2,1:0,1:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2008-09,Wigan,Man City,2,1,1,0,0,X,2,1,1,3,0,3,2:1,0:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Blackburn,Man United,0,1,2,0,1,2,0,2,2,1,1,2,0:1,0:1,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,2/2,-2.5/2/no
2008-09,Sunderland,Arsenal,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2008-09,West Brom,Fulham,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Wigan,Middlesbrough,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2,-2.5/2/no
2008-09,Chelsea,Aston Villa,2,0,1,0,0,X,2,0,1,2,0,2,2:0,0:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2008-09,Everton,Newcastle,2,1,1,0,1,2,2,2,X,3,1,4,2:1,0:1,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,1/X,+2.5/X/yes
2008-09,Man City,Liverpool,2,0,1,0,3,2,2,3,2,2,3,5,2:0,0:3,2:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:2,1/2,+2.5/2/yes
2008-09,Portsmouth,Stoke,1,0,1,1,1,X,2,1,1,1,2,3,1:0,1:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Tottenham,Hull,0,1,2,0,0,X,0,1,2,1,0,1,0:1,0:0,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,2/2,-2.5/2/no
2008-09,West Ham,Bolton,0,2,2,1,1,X,1,3,2,2,2,4,0:2,1:1,1:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:1,2/2,+2.5/2/yes
2008-09,Arsenal,Everton,0,1,2,3,0,1,3,1,1,1,3,4,0:1,3:0,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,2/1,+2.5/1/yes
2008-09,Aston Villa,Portsmouth,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Bolton,Blackburn,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Fulham,Sunderland,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Liverpool,Wigan,1,2,2,2,0,1,3,2,1,3,2,5,1:2,2:0,3:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:2,2/1,+2.5/1/yes
2008-09,Man United,West Brom,0,0,X,4,0,1,4,0,1,0,4,4,0:0,4:0,4:0,2.5,1,no,+2.5/1,+2.5/no,1/no,4:0,X/1,+2.5/1/no
2008-09,Middlesbrough,Chelsea,0,1,2,0,4,2,0,5,2,1,4,5,0:1,0:4,0:5,2.5,2,no,+2.5/2,+2.5/no,2/no,5:0,2/2,+2.5/2/no
2008-09,Hull,West Ham,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Stoke,Tottenham,1,1,X,1,0,1,2,1,1,2,1,3,1:1,1:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1,+2.5/1/yes
2008-09,Newcastle,Man City,1,1,X,1,1,X,2,2,X,2,2,4,1:1,1:1,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,X/X,+2.5/X/yes
2008-09,Blackburn,Middlesbrough,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2008-09,Everton,Man United,0,1,2,1,0,1,1,1,X,1,1,2,0:1,1:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,2/X,-2.5/X/yes
2008-09,Sunderland,Newcastle,1,1,X,1,0,1,2,1,1,2,1,3,1:1,1:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,X/1,+2.5/1/yes
2008-09,West Brom,Hull,0,0,X,0,3,2,0,3,2,0,3,3,0:0,0:3,0:3,2.5,2,no,+2.5/2,+2.5/no,2/no,3:0,X/2,+2.5/2/no
2008-09,Chelsea,Liverpool,0,1,2,0,0,X,0,1,2,1,0,1,0:1,0:0,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,2/2,-2.5/2/no
2008-09,Man City,Stoke,1,0,1,2,0,1,3,0,1,1,2,3,1:0,2:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,1/1,+2.5/1/no
2008-09,Portsmouth,Fulham,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2008-09,Tottenham,Bolton,1,0,1,1,0,1,2,0,1,1,1,2,1:0,1:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2008-09,West Ham,Arsenal,0,0,X,0,2,2,0,2,2,0,2,2,0:0,0:2,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,X/2,-2.5/2/no
2008-09,Wigan,Aston Villa,0,1,2,0,3,2,0,4,2,1,3,4,0:1,0:3,0:4,2.5,2,no,+2.5/2,+2.5/no,2/no,4:0,2/2,+2.5/2/no
2008-09,Newcastle,West Brom,2,0,1,0,1,2,2,1,1,2,1,3,2:0,0:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Arsenal,Tottenham,1,1,X,3,3,X,4,4,X,2,6,8,1:1,3:3,4:4,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,4:4,X/X,+2.5/X/yes
2008-09,Aston Villa,Blackburn,1,1,X,2,1,1,3,2,1,2,3,5,1:1,2:1,3:2,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:2,X/1,+2.5/1/yes
2008-09,Bolton,Everton,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2,-2.5/2/no
2008-09,Fulham,Wigan,1,0,1,1,0,1,2,0,1,1,1,2,1:0,1:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2008-09,Hull,Chelsea,0,1,2,0,2,2,0,3,2,1,2,3,0:1,0:2,0:3,2.5,2,no,+2.5/2,+2.5/no,2/no,3:0,2/2,+2.5/2/no
2008-09,Liverpool,Portsmouth,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Man United,West Ham,2,0,1,0,0,X,2,0,1,2,0,2,2:0,0:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2008-09,Middlesbrough,Man City,0,0,X,2,0,1,2,0,1,0,2,2,0:0,2:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,X/1,-2.5/1/no
2008-09,Stoke,Sunderland,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Chelsea,Sunderland,3,0,1,2,0,1,5,0,1,3,2,5,3:0,2:0,5:0,2.5,1,no,+2.5/1,+2.5/no,1/no,5:0,1/1,+2.5/1/no
2008-09,Everton,Fulham,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Man United,Hull,3,1,1,1,2,2,4,3,1,4,3,7,3:1,1:2,4:3,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,4:3,1/1,+2.5/1/yes
2008-09,Middlesbrough,West Ham,0,1,2,1,0,1,1,1,X,1,1,2,0:1,1:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,2/X,-2.5/X/yes
2008-09,Portsmouth,Wigan,0,1,2,1,1,X,1,2,2,1,2,3,0:1,1:1,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,2/2,+2.5/2/yes
2008-09,Stoke,Arsenal,1,0,1,1,1,X,2,1,1,1,2,3,1:0,1:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Tottenham,Liverpool,0,1,2,2,0,1,2,1,1,1,2,3,0:1,2:0,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,2/1,+2.5/1/yes
2008-09,West Brom,Blackburn,0,1,2,2,1,1,2,2,X,1,3,4,0:1,2:1,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,2/X,+2.5/X/yes
2008-09,Bolton,Man City,0,0,X,2,0,1,2,0,1,0,2,2,0:0,2:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,X/1,-2.5/1/no
2008-09,Newcastle,Aston Villa,0,0,X,2,0,1,2,0,1,0,2,2,0:0,2:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,X/1,-2.5/1/no
2008-09,Arsenal,Man United,1,0,1,1,1,X,2,1,1,1,2,3,1:0,1:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Hull,Bolton,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2,-2.5/2/no
2008-09,Liverpool,West Brom,2,0,1,1,0,1,3,0,1,2,1,3,2:0,1:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,1/1,+2.5/1/no
2008-09,Sunderland,Portsmouth,1,0,1,0,2,2,1,2,2,1,2,3,1:0,0:2,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,1/2,+2.5/2/yes
2008-09,West Ham,Everton,0,0,X,1,3,2,1,3,2,0,4,4,0:0,1:3,1:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:1,X/2,+2.5/2/yes
2008-09,Wigan,Stoke,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Aston Villa,Middlesbrough,1,1,X,0,1,2,1,2,2,2,1,3,1:1,0:1,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,X/2,+2.5/2/yes
2008-09,Blackburn,Chelsea,0,1,2,0,1,2,0,2,2,1,1,2,0:1,0:1,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,2/2,-2.5/2/no
2008-09,Fulham,Newcastle,1,0,1,1,1,X,2,1,1,1,2,3,1:0,1:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Man City,Tottenham,1,1,X,0,1,2,1,2,2,2,1,3,1:1,0:1,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,X/2,+2.5/2/yes
2008-09,Arsenal,Aston Villa,0,0,X,0,2,2,0,2,2,0,2,2,0:0,0:2,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,X/2,-2.5/2/no
2008-09,Blackburn,Sunderland,1,0,1,0,2,2,1,2,2,1,2,3,1:0,0:2,1:2,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,2:1,1/2,+2.5/2/yes
2008-09,Bolton,Liverpool,0,1,2,0,1,2,0,2,2,1,1,2,0:1,0:1,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,2/2,-2.5/2/no
2008-09,Fulham,Tottenham,1,0,1,1,1,X,2,1,1,1,2,3,1:0,1:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2008-09,Man United,Stoke,2,0,1,3,0,1,5,0,1,2,3,5,2:0,3:0,5:0,2.5,1,no,+2.5/1,+2.5/no,1/no,5:0,1/1,+2.5/1/no
2008-09,Newcastle,Wigan,0,1,2,2,1,1,2,2,X,1,3,4,0:1,2:1,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,2/X,+2.5/X/yes
2008-09,West Brom,Chelsea,0,3,2,0,0,X,0,3,2,3,0,3,0:3,0:0,0:3,2.5,2,no,+2.5/2,+2.5/no,2/no,3:0,2/2,+2.5/2/no
2008-09,West Ham,Portsmouth,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Everton,Middlesbrough,0,1,2,1,0,1,1,1,X,1,1,2,0:1,1:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,2/X,-2.5/X/yes
2008-09,Hull,Man City,1,2,2,1,0,1,2,2,X,3,1,4,1:2,1:0,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,2/X,+2.5/X/yes
2008-09,Aston Villa,Man United,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Chelsea,Newcastle,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Liverpool,Fulham,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Man City,Arsenal,1,0,1,2,0,1,3,0,1,1,2,3,1:0,2:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,1/1,+2.5/1/no
2008-09,Middlesbrough,Bolton,0,2,2,1,1,X,1,3,2,2,2,4,0:2,1:1,1:3,2.5,2,yes,+2.5/2,+2.5/yes,2/yes,3:1,2/2,+2.5/2/yes
2008-09,Portsmouth,Hull,1,0,1,1,2,2,2,2,X,1,3,4,1:0,1:2,2:2,2.5,X,yes,+2.5/X,+2.5/yes,X/yes,2:2,1/X,+2.5/X/yes
2008-09,Stoke,West Brom,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Sunderland,West Ham,0,1,2,0,0,X,0,1,2,1,0,1,0:1,0:0,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,2/2,-2.5/2/no
2008-09,Tottenham,Blackburn,1,0,1,0,0,X,1,0,1,1,0,1,1:0,0:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,1/1,-2.5/1/no
2008-09,Wigan,Everton,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2008-09,Aston Villa,Fulham,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2008-09,Middlesbrough,Newcastle,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
