,Season;HomeTeam;AwayTeam;1HHG;1HAG;1HR;2HHG;2HAG;2HR;FTHG;FTAG;FTR;1HSumGoals;2HSumGoals;FTSumGoals;1HR;2HR;FTR;2.5;Winner;BothScored;2.5/Winner;2.5/BothScored;Winner/BothScored;Result
47,2008-09;Tottenham;Wigan;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
48,2008-09;West Brom;Aston Villa;1;2;2;0;0;0;1;2;2;3;0;3;1:2;0:0;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
49,2008-09;Arsenal;Hull;0;0;0;1;2;2;1;2;2;0;3;3;0:0;1:2;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
50,2008-09;Aston Villa;Sunderland;2;1;1;0;0;0;2;1;1;3;0;3;2:1;0:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
51,2008-09;Everton;Liverpool;0;0;0;0;2;2;0;2;2;0;2;2;0:0;0:2;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
52,2008-09;Fulham;West Ham;0;2;2;1;0;1;1;2;2;2;1;3;0:2;1:0;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
53,2008-09;Man United;Bolton;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
54,2008-09;Middlesbrough;West Brom;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
55,2008-09;Newcastle;Blackburn;0;2;2;1;0;1;1;2;2;2;1;3;0:2;1:0;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
56,2008-09;Stoke;Chelsea;0;1;2;0;1;2;0;2;2;1;1;2;0:1;0:1;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
57,2008-09;Portsmouth;Tottenham;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
58,2008-09;Wigan;Man City;2;1;1;0;0;0;2;1;1;3;0;3;2:1;0:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
59,2008-09;Blackburn;Man United;0;1;2;0;1;2;0;2;2;1;1;2;0:1;0:1;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
60,2008-09;Sunderland;Arsenal;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
61,2008-09;West Brom;Fulham;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
62,2008-09;Wigan;Middlesbrough;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
63,2008-09;Chelsea;Aston Villa;2;0;1;0;0;0;2;0;1;2;0;2;2:0;0:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
64,2008-09;Everton;Newcastle;2;1;1;0;1;2;2;2;0;3;1;4;2:1;0:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
65,2008-09;Man City;Liverpool;2;0;1;0;3;2;2;3;2;2;3;5;2:0;0:3;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
66,2008-09;Portsmouth;Stoke;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
67,2008-09;Tottenham;Hull;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
68,2008-09;West Ham;Bolton;0;2;2;1;1;0;1;3;2;2;2;4;0:2;1:1;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
69,2008-09;Arsenal;Everton;0;1;2;3;0;1;3;1;1;1;3;4;0:1;3:0;3:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:1
70,2008-09;Aston Villa;Portsmouth;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
71,2008-09;Bolton;Blackburn;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
72,2008-09;Fulham;Sunderland;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
73,2008-09;Liverpool;Wigan;1;2;2;2;0;1;3;2;1;3;2;5;1:2;2:0;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
74,2008-09;Man United;West Brom;0;0;0;4;0;1;4;0;1;0;4;4;0:0;4:0;4:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;4:0
75,2008-09;Middlesbrough;Chelsea;0;1;2;0;4;2;0;5;2;1;4;5;0:1;0:4;0:5;+2.5;2;no;+2.5/2;+2.5/no;2/no;5:0
76,2008-09;Hull;West Ham;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
77,2008-09;Stoke;Tottenham;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
78,2008-09;Newcastle;Man City;1;1;0;1;1;0;2;2;0;2;2;4;1:1;1:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
79,2008-09;Blackburn;Middlesbrough;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
80,2008-09;Everton;Man United;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
81,2008-09;Sunderland;Newcastle;1;1;0;1;0;1;2;1;1;2;1;3;1:1;1:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
82,2008-09;West Brom;Hull;0;0;0;0;3;2;0;3;2;0;3;3;0:0;0:3;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
83,2008-09;Chelsea;Liverpool;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
84,2008-09;Man City;Stoke;1;0;1;2;0;1;3;0;1;1;2;3;1:0;2:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
85,2008-09;Portsmouth;Fulham;0;0;0;1;1;0;1;1;0;0;2;2;0:0;1:1;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
86,2008-09;Tottenham;Bolton;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
87,2008-09;West Ham;Arsenal;0;0;0;0;2;2;0;2;2;0;2;2;0:0;0:2;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
88,2008-09;Wigan;Aston Villa;0;1;2;0;3;2;0;4;2;1;3;4;0:1;0:3;0:4;+2.5;2;no;+2.5/2;+2.5/no;2/no;4:0
89,2008-09;Newcastle;West Brom;2;0;1;0;1;2;2;1;1;2;1;3;2:0;0:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
90,2008-09;Arsenal;Tottenham;1;1;0;3;3;0;4;4;0;2;6;8;1:1;3:3;4:4;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;4:4
91,2008-09;Aston Villa;Blackburn;1;1;0;2;1;1;3;2;1;2;3;5;1:1;2:1;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
92,2008-09;Bolton;Everton;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
93,2008-09;Fulham;Wigan;1;0;1;1;0;1;2;0;1;1;1;2;1:0;1:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
94,2008-09;Hull;Chelsea;0;1;2;0;2;2;0;3;2;1;2;3;0:1;0:2;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
95,2008-09;Liverpool;Portsmouth;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
96,2008-09;Man United;West Ham;2;0;1;0;0;0;2;0;1;2;0;2;2:0;0:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
97,2008-09;Middlesbrough;Man City;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
98,2008-09;Stoke;Sunderland;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
99,2008-09;Chelsea;Sunderland;3;0;1;2;0;1;5;0;1;3;2;5;3:0;2:0;5:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;5:0
100,2008-09;Everton;Fulham;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
101,2008-09;Man United;Hull;3;1;1;1;2;2;4;3;1;4;3;7;3:1;1:2;4:3;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;4:3
102,2008-09;Middlesbrough;West Ham;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
103,2008-09;Portsmouth;Wigan;0;1;2;1;1;0;1;2;2;1;2;3;0:1;1:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
104,2008-09;Stoke;Arsenal;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
105,2008-09;Tottenham;Liverpool;0;1;2;2;0;1;2;1;1;1;2;3;0:1;2:0;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
106,2008-09;West Brom;Blackburn;0;1;2;2;1;1;2;2;0;1;3;4;0:1;2:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
107,2008-09;Bolton;Man City;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
108,2008-09;Newcastle;Aston Villa;0;0;0;2;0;1;2;0;1;0;2;2;0:0;2:0;2:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;2:0
109,2008-09;Arsenal;Man United;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
110,2008-09;Hull;Bolton;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
111,2008-09;Liverpool;West Brom;2;0;1;1;0;1;3;0;1;2;1;3;2:0;1:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
112,2008-09;Sunderland;Portsmouth;1;0;1;0;2;2;1;2;2;1;2;3;1:0;0:2;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
113,2008-09;West Ham;Everton;0;0;0;1;3;2;1;3;2;0;4;4;0:0;1:3;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
114,2008-09;Wigan;Stoke;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
115,2008-09;Aston Villa;Middlesbrough;1;1;0;0;1;2;1;2;2;2;1;3;1:1;0:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
116,2008-09;Blackburn;Chelsea;0;1;2;0;1;2;0;2;2;1;1;2;0:1;0:1;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
117,2008-09;Fulham;Newcastle;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
118,2008-09;Man City;Tottenham;1;1;0;0;1;2;1;2;2;2;1;3;1:1;0:1;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
119,2008-09;Arsenal;Aston Villa;0;0;0;0;2;2;0;2;2;0;2;2;0:0;0:2;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
120,2008-09;Blackburn;Sunderland;1;0;1;0;2;2;1;2;2;1;2;3;1:0;0:2;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
121,2008-09;Bolton;Liverpool;0;1;2;0;1;2;0;2;2;1;1;2;0:1;0:1;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
122,2008-09;Fulham;Tottenham;1;0;1;1;1;0;2;1;1;1;2;3;1:0;1:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
123,2008-09;Man United;Stoke;2;0;1;3;0;1;5;0;1;2;3;5;2:0;3:0;5:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;5:0
124,2008-09;Newcastle;Wigan;0;1;2;2;1;1;2;2;0;1;3;4;0:1;2:1;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
125,2008-09;West Brom;Chelsea;0;3;2;0;0;0;0;3;2;3;0;3;0:3;0:0;0:3;+2.5;2;no;+2.5/2;+2.5/no;2/no;3:0
126,2008-09;West Ham;Portsmouth;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
127,2008-09;Everton;Middlesbrough;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
128,2008-09;Hull;Man City;1;2;2;1;0;1;2;2;0;3;1;4;1:2;1:0;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
129,2008-09;Aston Villa;Man United;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
130,2008-09;Chelsea;Newcastle;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
131,2008-09;Liverpool;Fulham;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
132,2008-09;Man City;Arsenal;1;0;1;2;0;1;3;0;1;1;2;3;1:0;2:0;3:0;+2.5;1;no;+2.5/1;+2.5/no;1/no;3:0
133,2008-09;Middlesbrough;Bolton;0;2;2;1;1;0;1;3;2;2;2;4;0:2;1:1;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
134,2008-09;Portsmouth;Hull;1;0;1;1;2;2;2;2;0;1;3;4;1:0;1:2;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
135,2008-09;Stoke;West Brom;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
136,2008-09;Sunderland;West Ham;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
137,2008-09;Tottenham;Blackburn;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
138,2008-09;Wigan;Everton;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
139,2008-09;Aston Villa;Fulham;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
140,2008-09;Middlesbrough;Newcastle;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
141,2008-09;Stoke;Hull;0;1;2;1;0;1;1;1;0;1;1;2;0:1;1:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
142,2008-09;Sunderland;Bolton;1;3;2;0;1;2;1;4;2;4;1;5;1:3;0:1;1:4;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;4:1
143,2008-09;Wigan;West Brom;0;0;0;2;1;1;2;1;1;0;3;3;0:0;2:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
144,2008-09;Chelsea;Arsenal;1;0;1;0;2;2;1;2;2;1;2;3;1:0;0:2;1:2;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;2:1
145,2008-09;Man City;Man United;0;1;2;0;0;0;0;1;2;1;0;1;0:1;0:0;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
146,2008-09;Portsmouth;Blackburn;0;0;0;3;2;1;3;2;1;0;5;5;0:0;3:2;3:2;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;3:2
147,2008-09;Tottenham;Everton;0;0;0;0;1;2;0;1;2;0;1;1;0:0;0:1;0:1;-2.5;2;no;-2.5/2;-2.5/no;2/no;1:0
148,2008-09;Liverpool;West Ham;0;0;0;0;0;0;0;0;0;0;0;0;0:0;0:0;0:0;-2.5;0;no;-2.5/0;-2.5/no;0/no;0:0
149,2008-09;Arsenal;Wigan;1;0;1;0;0;0;1;0;1;1;0;1;1:0;0:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
150,2008-09;Blackburn;Liverpool;0;0;0;1;3;2;1;3;2;0;4;4;0:0;1:3;1:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:1
151,2008-09;Bolton;Chelsea;0;2;2;0;0;0;0;2;2;2;0;2;0:2;0:0;0:2;-2.5;2;no;-2.5/2;-2.5/no;2/no;2:0
152,2008-09;Fulham;Man City;1;1;0;0;0;0;1;1;0;2;0;2;1:1;0:0;1:1;-2.5;0;yes;-2.5/0;-2.5/yes;0/yes;1:1
153,2008-09;Hull;Middlesbrough;0;0;0;2;1;1;2;1;1;0;3;3;0:0;2:1;2:1;+2.5;1;yes;+2.5/1;+2.5/yes;1/yes;2:1
154,2008-09;Man United;Sunderland;0;0;0;1;0;1;1;0;1;0;1;1;0:0;1:0;1:0;-2.5;1;no;-2.5/1;-2.5/no;1/no;1:0
155,2008-09;Newcastle;Stoke;2;0;1;0;2;2;2;2;0;2;2;4;2:0;0:2;2:2;+2.5;0;yes;+2.5/0;+2.5/yes;0/yes;2:2
156,2008-09;Everton;Aston Villa;1;1;0;1;2;2;2;3;2;2;3;5;1:1;1:2;2:3;+2.5;2;yes;+2.5/2;+2.5/yes;2/yes;3:2
